Region 23 Avg IOU: 0.001243, Class: 0.596397, Obj: 0.458765, No Obj: 0.495302, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 23 Avg IOU: 0.235751, Class: 0.366426, Obj: 0.607608, No Obj: 0.494556, .5R: 0.142857, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.101009, Class: 0.590807, Obj: 0.434552, No Obj: 0.497154, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.097030, Class: 0.531639, Obj: 0.595058, No Obj: 0.493600, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.213141, Class: 0.453928, Obj: 0.460766, No Obj: 0.494222, .5R: 0.142857, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.132733, Class: 0.596387, Obj: 0.462918, No Obj: 0.496020, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.285811, Class: 0.651900, Obj: 0.305008, No Obj: 0.494551, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.081199, Class: 0.388788, Obj: 0.591187, No Obj: 0.494951, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.213995, Class: 0.593007, Obj: 0.598277, No Obj: 0.494259, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.105719, Class: 0.523083, Obj: 0.544223, No Obj: 0.495359, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.114923, Class: 0.437509, Obj: 0.558580, No Obj: 0.494478, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.143267, Class: 0.510564, Obj: 0.461972, No Obj: 0.493493, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.194505, Class: 0.553925, Obj: 0.426233, No Obj: 0.494469, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.160923, Class: 0.564318, Obj: 0.420058, No Obj: 0.494611, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.201781, Class: 0.364438, Obj: 0.414780, No Obj: 0.494599, .5R: 0.000000, .75R: 0.000000,  count: 5
