187: 22.893469, 36.898544 avg, 0.000001 rate, 0.613945 seconds, 11968 images
188: 22.689602, 35.477650 avg, 0.000001 rate, 0.509014 seconds, 12032 images
189: 22.474962, 34.177380 avg, 0.000001 rate, 0.619324 seconds, 12096 images
190: 21.103155, 32.869957 avg, 0.000001 rate, 0.476394 seconds, 12160 images
191: 19.499916, 31.532953 avg, 0.000001 rate, 0.604646 seconds, 12224 images
192: 20.209002, 30.400558 avg, 0.000001 rate, 0.609346 seconds, 12288 images
193: 18.333094, 29.193811 avg, 0.000001 rate, 0.476633 seconds, 12352 images
194: 17.953327, 28.069763 avg, 0.000001 rate, 0.455664 seconds, 12416 images
195: 16.903330, 26.953119 avg, 0.000001 rate, 0.613047 seconds, 12480 images
196: 17.058826, 25.963690 avg, 0.000001 rate, 0.602302 seconds, 12544 images
197: 16.535658, 25.020887 avg, 0.000002 rate, 0.504373 seconds, 12608 images
198: 14.878793, 24.006678 avg, 0.000002 rate, 0.609134 seconds, 12672 images
199: 15.223875, 23.128397 avg, 0.000002 rate, 0.598953 seconds, 12736 images
200: 15.521304, 22.367687 avg, 0.000002 rate, 0.597669 seconds, 12800 images
201: 13.915825, 21.522501 avg, 0.000002 rate, 0.490137 seconds, 12864 images
202: 13.844272, 20.754679 avg, 0.000002 rate, 0.535502 seconds, 12928 images
203: 12.923489, 19.971560 avg, 0.000002 rate, 0.540176 seconds, 12992 images
204: 13.032805, 19.277683 avg, 0.000002 rate, 0.523989 seconds, 13056 images
205: 12.475503, 18.597466 avg, 0.000002 rate, 0.606385 seconds, 13120 images
206: 12.259642, 17.963684 avg, 0.000002 rate, 0.502987 seconds, 13184 images
207: 11.695902, 17.336906 avg, 0.000002 rate, 0.480775 seconds, 13248 images
208: 11.268486, 16.730064 avg, 0.000002 rate, 0.533739 seconds, 13312 images
209: 11.436596, 16.200718 avg, 0.000002 rate, 0.635141 seconds, 13376 images
210: 10.917658, 15.672412 avg, 0.000002 rate, 0.468198 seconds, 13440 images
211: 11.309813, 15.236152 avg, 0.000002 rate, 0.618623 seconds, 13504 images
212: 10.154150, 14.727952 avg, 0.000002 rate, 0.470183 seconds, 13568 images
213: 9.854848, 14.240642 avg, 0.000002 rate, 0.594679 seconds, 13632 images
214: 9.262444, 13.742822 avg, 0.000002 rate, 0.440591 seconds, 13696 images
215: 9.195913, 13.288131 avg, 0.000002 rate, 0.629194 seconds, 13760 images
216: 9.498113, 12.909129 avg, 0.000002 rate, 0.565250 seconds, 13824 images
217: 9.082071, 12.526423 avg, 0.000002 rate, 0.478219 seconds, 13888 images
